374320,Dark Fantasy,Difficult,RPG,Atmospheric,Lore-Rich,Third Person,Exploration,Story Rich,Action RPG,Co-op,PvP,Adventure,Open World,Great Soundtrack,Action,Multiplayer,Singleplayer,Replay Value,Character Customization,Horror
431960,Early Access,Utilities,Software,Design & Illustration,Animation & Modeling,Anime,Sexual Content,3D Vision,Memes,Mature,Sandbox,Cute,Funny,Singleplayer,Shooter,Open World,FPS,Casual,Horror
268500,Strategy,Turn-Based,Tactical,Turn-Based Strategy,Aliens,Sci-fi,Turn-Based Tactics,Character Customization,Difficult,Singleplayer,Multiplayer,Action,Atmospheric,Futuristic,Moddable,Perma Death,RPG,Great Soundtrack,Co-op,Open World
311290,RPG,Strategy,RTS,Fantasy,Multiplayer,Singleplayer,Atmospheric,Great Soundtrack,Open World,Co-op,Adventure,Character Customization,CRPG
240,Action,FPS,Multiplayer,Shooter,Team-Based,Tactical,First-Person,Competitive,PvP,Military,War,e-sports,Moddable,Strategy,Difficult,Singleplayer,Survival,Simulation,Atmospheric,Sandbox
39210,Massively Multiplayer,MMORPG,RPG,Fantasy,Great Soundtrack,Open World,JRPG,Anime,Character Customization,Story Rich,Adventure,Multiplayer,Magic,Action,Atmospheric,Action RPG,Female Protagonist,Singleplayer,Co-op,Dating Sim
203770,Grand Strategy,Strategy,Medieval,Historical,Simulation,Sandbox,RPG,Multiplayer,Politics,Replay Value,Diplomacy,Singleplayer,Real-Time with Pause,Moddable,Political,Character Customization,Great Soundtrack,RTS,Education,Co-op
356190,Open World,Action,RPG,Fantasy,Singleplayer,Adventure,Violent,Gore,Third Person,Stealth,War,Story Rich,Action RPG,Atmospheric,Dark Fantasy,Hack and Slash,Magic,Strategy,Medieval,Great Soundtrack
253920,RPG,Strategy,Turn-Based,Post-apocalyptic,Classic,Horror,Isometric,Singleplayer,Turn-Based Strategy,Atmospheric,Tactical,Sci-fi,Tactical RPG
378120,Sports,Simulation,Management,Soccer,Football,Strategy,Tactical,Singleplayer,Multiplayer,Free to Play
242760,Survival,Open World,Horror,Crafting,Adventure,Building,First-Person,Survival Horror,Action,Sandbox,Exploration,Atmospheric,Simulation,Indie,Singleplayer,Early Access,Realistic,Gore,Zombies,FPS
250900,Indie,Replay Value,Rogue-like,Difficult,Pixel Graphics,Great Soundtrack,Dungeon Crawler,Remake,Dark,Singleplayer,Local Co-Op,2D,Procedural Generation,Gore,Atmospheric,Action,Rogue-lite,Co-op,Twin Stick Shooter,Horror
227940,Free to Play,World War II,FPS,Multiplayer,War,Shooter,Action,First-Person,Massively Multiplayer,Tactical,Co-op,Strategy,Historical,Open World,Simulation,Singleplayer,Atmospheric,Adventure,Early Access,Indie
485510,Action,RPG,Souls-like,Difficult,Dark Fantasy,Hack and Slash,Third Person,JRPG,Singleplayer,Adventure,Action RPG,Atmospheric,Ninja,Historical,Multiplayer,Co-op,Fantasy,Loot,Great Soundtrack,Nudity
219990,Action RPG,RPG,Hack and Slash,Loot,Dark Fantasy,Multiplayer,Co-op,Singleplayer,Dungeon Crawler,Indie,Action,Dark,Adventure,Isometric,Post-apocalyptic,Fantasy,Kickstarter,Atmospheric,Crowdfunded,Zombies
698780,Psychological Horror,Anime,Visual Novel,Free to Play,Horror,Cute,Dating Sim,Dark,Story Rich,Romance,Singleplayer,Great Soundtrack,Gore,Violent,Indie,Memes,First-Person,Casual,Sexual Content,Adventure
259360
259340,Action,Casual,Indie,Shooter
231430,Strategy,World War II,RTS,Multiplayer,Tactical,Historical,Singleplayer,Military,War,Co-op,Online Co-Op,Action,Tanks,Real-Time,Real-Time with Pause,Base-Building,Atmospheric,Great Soundtrack,Simulation,Adventure
291480,Free to Play,FPS,Multiplayer,Shooter,Action,Co-op,First-Person,Online Co-Op,War,PvP,Military,Massively Multiplayer,Team-Based,Tactical,Zombies,Adventure,Open World,Strategy,Simulation,Great Soundtrack
359320,Space Sim,Space,Open World,Exploration,Sci-fi,Massively Multiplayer,Simulation,Multiplayer,First-Person,Action,Sandbox,Adventure,Online Co-Op,Trading,Singleplayer,RPG,VR,Difficult,Strategy,TrackIR
386180,Free to Play,Action,Building,Multiplayer,Racing,Crafting,Post-apocalyptic,Shooter,Massively Multiplayer,PvP,Destruction,Sandbox,Driving,Survival,Open World,Strategy,PvE,Singleplayer,Gore,Adventure
364360,Strategy,Fantasy,War,RTS,Turn-Based Strategy,Games Workshop,Multiplayer,Grand Strategy,Tactical,Dark Fantasy,Action,Singleplayer,Atmospheric,Turn-Based,Co-op,Story Rich,Open World,RPG,Gore,4X
22380,Open World,RPG,Post-apocalyptic,Singleplayer,Moddable,First-Person,Action,Exploration,Adventure,Sci-fi,Story Rich,FPS,Atmospheric,Western,Sandbox,Action RPG,Survival,Character Customization,Shooter,Third Person
244850,Early Access,Space,Sandbox,Building,Multiplayer,Simulation,Survival,Physics,Open World,Crafting,Destruction,Indie,Co-op,Futuristic,Singleplayer,Action,Sci-fi,Strategy,Adventure
325610,Strategy,Historical,War,Turn-Based Strategy,Grand Strategy,RTS,Tactical,Multiplayer,Rome,Singleplayer,Real Time Tactics,Medieval,Atmospheric,Action,Co-op,Turn-Based,Open World,Survival,Simulation,Adventure
304050,Free to Play,Open World,Multiplayer,Adventure,Massively Multiplayer,MMORPG,Building,Sandbox,Action,Pixel Graphics,RPG,Crafting,Third Person,Exploration,Co-op,Dungeon Crawler,Voxel,Funny,Casual,FPS
298610,Early Access,Survival,Multiplayer,Sandbox,Open World,Adventure,Crafting,Building,Casual,Co-op,Singleplayer,Indie,Third Person,Action,Exploration,First-Person
264710,Survival,Open World,Exploration,Crafting,Underwater,Base-Building,Singleplayer,First-Person,Adventure,Horror,Sci-fi,Sandbox,Aliens,Atmospheric,Early Access,Action,Indie,VR,Survival Horror,FPS
322170,Difficult,Great Soundtrack,Music,Level Editor,2D,Rhythm,Colorful,Singleplayer,Platformer,Character Customization,Arcade,Indie,Side Scroller,Action,Funny,Family Friendly,Casual,Strategy,Adventure,Multiplayer
211820,Sandbox,Adventure,Survival,Crafting,Indie,Space,Multiplayer,Building,Pixel Graphics,2D,RPG,Exploration,Open World,Action,Platformer,Sci-fi,Co-op,Singleplayer,Atmospheric,Great Soundtrack
242920,City Builder,Strategy,Simulation,Survival,Indie,Singleplayer,Sandbox,Medieval,Relaxing,Resource Management,Economy,Open World,Building,Difficult,Beautiful,Procedural Generation,Management,Historical,Masterpiece,RTS
627690,Early Access,Free to Play,Clicker,Strategy,Adventure,Indie,Action,Fantasy,Dungeons & Dragons,Casual,Multiplayer
453480,Free to Play,Card Game,Anime,Strategy,Trading Card Game,Fantasy,Multiplayer,Sexual Content,Nudity,Turn-Based,Competitive,Casual,Adventure,JRPG
460930,Open World,Shooter,Action,Multiplayer,Co-op,Tactical,Stealth,Third-Person Shooter,Military,Singleplayer,Adventure,FPS,Third Person,Online Co-Op,Sandbox,Strategy,Survival,First-Person,Atmospheric,PvP
373420,RPG,Turn-Based,Co-op,Adventure,Fantasy,Party-Based RPG,Strategy,Open World,Story Rich,Turn-Based Combat,Local Co-Op,Singleplayer,Isometric,Character Customization,CRPG,Indie,Split Screen,Multiplayer,Great Soundtrack,Turn-Based Strategy
8500,Space,Massively Multiplayer,Sci-fi,Sandbox,MMORPG,Open World,RPG,PvP,Multiplayer,Strategy,Economy,Free to Play,Space Sim,Action,Simulation,Difficult,Capitalism,Tactical,Atmospheric,PvE
220200,Space,Simulation,Sandbox,Physics,Science,Space Sim,Building,Moddable,Indie,Education,Open World,Singleplayer,Exploration,Funny,Sci-fi,Adventure,Difficult,Strategy,Replay Value,Comedy
10500,Strategy,Historical,Military,Grand Strategy,Turn-Based Strategy,War,Tactical,RTS,Multiplayer,Singleplayer,Turn-Based,America,Naval,Great Soundtrack,Action,Turn-Based Tactics,Real Time Tactics,Atmospheric,Adventure,Classic
4700,Strategy,Medieval,Historical,Turn-Based Strategy,Grand Strategy,RTS,War,Tactical,Singleplayer,Multiplayer,Moddable,Military,Turn-Based,Real Time Tactics,Classic,Simulation,Action,Great Soundtrack,Sandbox,4X
221100,Early Access,Survival,Zombies,Open World,Multiplayer,PvP,Massively Multiplayer,Action,Simulation,FPS,Post-apocalyptic,Shooter,Survival Horror,Sandbox,Indie,Adventure,Co-op,Horror,Atmospheric
301520,Free to Play,Robots,Building,Multiplayer,Action,Shooter,PvP,Massively Multiplayer,Sandbox,Crafting,Third-Person Shooter,Sci-fi,Strategy,Simulation,Early Access,Indie,Open World,Funny,Adventure,RPG
239140,Zombies,Survival,Open World,Parkour,Co-op,Multiplayer,Action,First-Person,Horror,Gore,Survival Horror,Crafting,FPS,Adventure,Atmospheric,Shooter,Singleplayer,RPG,Stealth,Sandbox
232090,Zombies,Co-op,Gore,FPS,Survival,Action,Horror,Multiplayer,Online Co-Op,Shooter,First-Person,Team-Based,Survival Horror,Great Soundtrack,Atmospheric,Difficult,Singleplayer,Early Access,Masterpiece,Indie
