290930,Filip Victor,Valve
307670,CreativeForge Games
669580,Ediogames
270370,Vortal Storm
3170,Katauri Interactive
528210
360830,Playtonic Games
13230,"Epic Games, Inc."
424280,SnoutUp
223670
263540,Mad Otter Games
304530,Deep Silver Volition
252870,Leafy Games
305260,DR Studios
660160,Byzantine Games
310470,Gaming Minds Studios
292180,Laminar Research
249650,Daedalic Entertainment
289930,Deck13 Hamburg
331360
337150,Handelabra Games Inc.
667870,No Moon
625140,Youren
296970,Abbey Games
412740,Dylan Fitterer
545650,Double Coconut
579950,Telltale Games
58610,Eugen Systems
414740,Lion game Lion
228760,Nadeo
538590,White Dog
457550,"Bigscreen, Inc."
545110,IObit
61700,Capybara Games
670880
712840
363360,Split Polygon
420790,Crunchy Games
335620,Trese Brothers
368360,Robot Gentleman
370730,"KOEI TECMO GAMES CO., LTD."
570420,Egosoft
73010,Colossal Order Ltd.
204340,Croteam
393080,Raven Software,Beenox
201700
454510
523120,MAGIX Software GmbH
382900,Square Enix
239120,Square Enix
71250,SEGA
63910,Katauri Interactive
513620,Alexey Khazov,Cristian Ionescu,Lars van Dorenvanck,Brandon van Doorn,Joran Vergoessen,Admir Leka
22350,Splash Damage
485980,Cats Who Play
252110,Asteroid Base
98800,"Gaslamp Games, Inc."
505040,RTK Entertainment
316790,Double Fine Productions
555160,davevillz
3720,Elixir Studios
253430,DigitalDNA Games LLC
285010,DL Softworks
238750,Ubisoft
577230,LongYou Game Studio
546400,White Dog
293780,Powerhoof
321410,WarfareSims
460120,Idea Factory,Compile Heart
15320,1C: Maddox Games
506610,Scott Cawthon
404680,Runic Games
353270,Idea Factory,Compile Heart,Felistella
436320,Survios
6800,Pyro Studios
745880
214420,Doctor Entertainment AB
551730,"KOEI TECMO GAMES CO., LTD."
48210
383180,Techland
262940,Revolution Software Ltd
503770,Wenkly Studio Sp. z o.o.
25000,Wolfire Games
550340,07th Expansion
6910,Ion Storm
460870
41010,Croteam
485420,Second Reality
327140,Google
224760,Polytron Corporation
3480,"PopCap Games, Inc."
315460,Gaddy Games
224500,Robotronic Games
233720,Bossa Studios
16450,Monolith
8000,Crystal Dynamics,Feral Interactive (Mac)
50620,Vigil Games
203680,Codemasters Birmingham
13260
452570,Trinket Studios
258030
224060
363090,"KOEI TECMO GAMES CO., LTD."
580200,Prideful Sloth
67370,Digital Extremes
562810,Ubisoft Pune
434030,IPACS
337950,Eforb
457710,Faton
263760,Secret Exit Ltd.
404540,Housemarque
583470,Edmund McMillen,Tyler Glaiel
427720,peakvox,O-TWO inc.
15700,Oddworld Inhabitants
412050,Zenz VR
703700
10270,Akella
388880,Night School Studio
254300,Ankama Studio
528200,MAGIX Software GmbH
219830,Transhuman Design
206440,Freebird Games
248860,Blue Bottle Games
65790,Bohemia Interactive
39190,Gas Powered Games
569860,Terrible Toybox
12150,Remedy Entertainment
25830,Black Sea Studios Ltd
41000,Croteam
397100,G2CREW
311770,Traveller's Tales
468070,Isokron
269330,Bedtime Digital Games
260430,Digital Leisure Inc.
577940,Iron Galaxy
327860,Lavaboots Studios
340000,Double Fine Productions
251950,Cornered Rat Software
22130,Paradox Development Studio
92800,Zachtronics
104900,Spiral Game Studios
237850,Red Thread Games
327090,Space Boat Studios
394230,Gearbox Software
461880,Atum Software
603780
1200,Tripwire Interactive
368230,Noio,Licorice
595420,Out of the Park Developments
21000,Traveller's Tales
236090,Humble Hearts LLC
317360,Double Action Factory
282400,GolemLabs
449800,"KOEI TECMO GAMES CO., LTD."
11450,Triumph Studios,Virtual Programming
40700,Amanita Design
517160,Toast
521150,The Quadsphere
24840,EA Los Angeles
580420,Wojciech Krupinski
430440
625950,ArteG
57730,Gaming Minds Studios
384740,Ionized Games
425580,Fireproof Games
527100,Ubisoft
205990,Ino-Co Plus
298030,Cavedog Entertainment
500710,Juvty Worlds Ltd.
259020
492130,Rasul Mono
421050,Daedalic Entertainment
312750,Square Enix,DotEmu SAS.
464060,Reikon Games
527270,"KOEI TECMO GAMES CO., LTD."
453090,Texel Raptor
435400,Adriaan de Jongh,Sylvain Tegroeg
13210,"Epic Games, Inc."
542480,Virtys
232010,SCS Software
2810,Egosoft
338180,[geim].pro
454080,David Mulder
70400,EasyGameStation
33340,Blue Byte,Related Designs
235800,Dylan Fitterer
7760,"MicroProse Software, Inc"
243950,Larian Studios
239840,DoubleBear Productions
308040,Bedtime Digital Games
629690,"Fatbot Games, s. r. o."
322520,"KOEI TECMO GAMES CO., LTD."
313780,Zoetrope Interactive
522470,Blue Brain Games
228300,DONTNOD Entertainment
385730,Visual Concepts,"Yuke's Co., LTD"
235320,Altar Games
350110,Deck13 Hamburg
449630
507300,BigBlaze Games
234710,Telltale Games
231060,"Gravity, Inc."
639790,Neko Climax Studios
32500,Aspyr Studios
345240,CREATIVE ASSEMBLY
317820,Gambrinous
312280,BlueLine Games
681820
311260,Purple Lamp Studios,GolemLabs
501800
504210,Zachtronics
682130,Robert Borghese
247020,Vertigo Gaming Inc.
339340,"CAPCOM Co., Ltd."
416270
322920,Expansive Worlds,Avalanche Studios
287260,Codemasters
335360
46500,Microids
445880
384190,Giant Squid
375950,Zoe Vartanian,Badru,Isa Hutchinson,Michael Bell
221540,Hidden Path Entertainment
324510,Wonderstruck
